product_name,manufacturer,number_available_in_stock,number_of_reviews,number_of_answered_questions,ebay_category,average_review_rating (out of 5 stars),main sale country,price (ï¿,,,
AFV Club 1/35 IDF Sho T Kal Gimel 1982 Centurion # 35267,AFV Club,6,1,1,Tanks,5,,52.97,,,
AFV Club 1/35 US 105mm Howitzer Brass Ammo Set # AG3530,AFV Club,4,2,1,Tanks,4.5,,14.61,,,
AFV Club 3513 Scimitar CVR(T) FV107 1:35 Plastic Kit,AFV Club,9,2,1,Tanks,4.5,,28.99,,,
AFV Club 1/35 Centurion Mk 5/1 Royal Australian Armed Corps,AFV Club,2,1,1,Tanks,5,Japan,27.5,,,
AFV Club 1:35 - LVT-4 Workable Tracks - AFV35226,AFV Club,5,1,1,Tanks,5,Japan,26.75,,,
AFV Club 1:35 - LVT-4 Water Buffalo (Early Type) - AFV35205,AFV Club,11,1,1,Tanks,5,China,51.77,,,
Airfix A50009 Battle Front 1:76 Scale Diorama Gift Set,Airfix,16,16,5,Toy,2.1,China,19.99,,,
Airfix A03411 Aston Martin DBR9 Gulf 1:32 Scale Series 3 Plastic Model Kit,Airfix,1,8,1,Toy,4.5,China,14,,,
Airfix A06010 Consolidated B-24 Liberator 1:72 Scale Series 6 Plastic Model Kit,Airfix,15,8,2,Toy,3.2,China,16.76,,,
Airfix A02322 LWB Landrover (Soft Top) and GS Trailer 1:76 Scale Series 2 Plastic Model Kit,Airfix,3,6,2,Toy,4,Italy,7.49,,,
Airfix A50109 Jaguar XKRGT3 Apex Racing 1:32 Scale Model Large Starter Set,Airfix,1,5,1,Toy,4,China,11,,,
Airfix A50110 Aston Martin DBR9 Gulf 1:32 Scale Model Large Starter Set,Airfix,6,18,1,Toy,4.3,Israel,17.95,,,
Scalextric C3267A Classic Rally Cross 1:32 Scale Limited Edition Slot Car,Airfix,3,1,2,Toy,5,Italy,64.95,,,
Airfix Desert Outpost 1:32 (A06381) Model Kit,Airfix,15,5,1,Military,4.8,Italy,16.33,,,
WWII Australian Infantry Set 1:72 Scale,Airfix,18,3,1,Military,5,Italy,5.08,,,
Airfix 1:72 WWII Bomber Re-Supply Dioramas and Buildings Model Set,Airfix,21,19,1,Military,4.8,Israel,14.79,,,
Airfix A01307 Josep Stalin Tank 1:76 Scale Series 1 Plastic Model Kit,Airfix,2,3,1,Tanks,5,Japan,12,,,
Airfix A03301 1:76 Scale LCM III Landing Craft & Sherman Tank Military Vehicles Classic Kit Series 3,Airfix,11,1,1,Tanks,4,Israel,5.85,,,
Airfix A02320 Sherman 'Crab' Tank 1:76 Scale Series 2 Plastic Model Kit,Airfix,11,1,1,Tanks,5,Israel,6.99,,,
Airfix A50142 Classic Conflict Cromwell Cruiser and King Tiger Tanks 1:76 Scale Plastic Model Gift Set,Airfix,1,13,1,Tanks,4.6,China,9,,,
Alex Toys Early Learning My First Scrapbook Little Hands,Alex,9,1,1,Childrens Craft Kits,5,China,16.5,,,
Paper Bag Puppets,Alex,8,17,1,Childrens Craft Kits,4.9,China,12.06,,,
Alex Toys Colour a Dog House Children's Craft Kit with Washable Markers and Cardboard Props,Alex,4,1,4,Childrens Craft Kits,5,China,24.98,,,
Alex Toys Colour a Rocket Children's Craft Kit with Washable Markers,Alex,2,1,2,Childrens Craft Kits,5,China,31.94,,,
Alex Toys Craft Giant Paper Flowers in a Vase,Alex,2,1,1,Childrens Craft Kits,5,China,25.9,,,
Friends 4 Ever Bracelet Kit,Alex,28,21,2,Childrens Craft Kits,2.5,Israel,20,,,
Alex Toys My Crafty Kit,Alex,6,2,23,Childrens Craft Kits,5,Israel,23.18,,,
