Company,Valuation ($B),Country,Industry,Founded Year,Financial Stage,Investors Count,Number workers,Total Raised ($M),,,
Yiguo,1.2,China,"Supply chain, logistics, & delivery",2005,Acquired,12,137,800,,,
Creditas,4.8,Brazil,Fintech,2012,Acquired,25,919,867.44,,,
Xiaohongshu,20,China,E-commerce & direct-to-consumer,2013,None,9,595,917.5,,,
wefox,1.65,Germany,Fintech,2014,Divestiture,36,420,924.31,,,
4Paradigm,2,China,Artificial intelligence,2015,None,39,331,930,,,
Clearco,2,Canada,Fintech,2015,None,23,411,935.01,,,
Berlin Brands Group,1,Germany,E-commerce & direct-to-consumer,2005,None,2,811,938.71,,,
Meizu Technology,4.58,China,Hardware,2003,IPO,4,479,943.1,,,
Mirakl,3.5,France,E-commerce & direct-to-consumer,2011,None,6,906,948,,,
Xingyun Group,2,China,E-commerce & direct-to-consumer,2015,None,29,1003,953.5,,,
Cao Cao Mobility,1.6,China,Auto & transportation,2015,None,5,821,968.86,,,
Zhuan Zhuan,1,China,E-commerce & direct-to-consumer,2015,None,7,870,990,,,
Flink,2.85,Germany,E-commerce & direct-to-consumer,2021,None,10,865,1042,,,
DJI Innovations,15,China,Hardware,2006,None,7,903,1135,,,
BYTON,2.5,China,Auto & transportation,2016,None,11,1015,1208,,,
SouChe Holdings,3,China,E-commerce & direct-to-consumer,2012,None,22,872,1282,,,
Momenta,1,China,Artificial intelligence,2016,None,28,958,1283,,,
Youxia Motors,3.35,China,Auto & transportation,2014,None,7,823,1326,,,
ENOVATE,1.85,China,Auto & transportation,2015,None,1,1019,1333,,,
Gorillas,3.1,Germany,E-commerce & direct-to-consumer,2020,None,14,927,1335,,,
MEGVII,4,China,Artificial intelligence,2011,Divestiture,18,894,1358,,,
Lianjia,5.77,China,E-commerce & direct-to-consumer,2001,IPO,15,1014,1701,,,
Leap Motor,1.01,China,Auto & transportation,2015,None,20,830,1761,,,
Hozon Auto,3.95,China,Auto & transportation,2014,None,13,974,3146,,,
SVOLT,1.16,China,Auto & transportation,2018,None,30,866,3207,,,
